respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,Qual é a sua idade?,Com qual gênero você se identifica?,Qual é seu nível de escolaridade?,Qual é o nível de escolaridade do seu pai?,Qual é o nível de escolaridade da sua mãe?,Qual a sua profissão?,O que é o Sol?,Quantos planetas o Sistema Solar possui?,Qual o maior planeta do Sistema Solar?,Qual é o nome da nossa Galáxia?,O que é a Lua?,Qual é a distância (aproximada) da Terra ao Sol?,Qual o formato da Terra?,O que é um eclipse lunar?,"O que é uma ""estrela cadente""?",Qual a diferença entre cometa e asteroide?,O que é uma nebulosa?,Qual destes(as) é um(a) astrônomo(a) brasileiro(a)?,O que é um buraco negro?,"Qual a idade do Universo, aproximadamente?",Por que é necessário colocar telescópios no espaço?,O Sol morrerá um dia. O que ele se tornará?,Identifique a nebulosa:,Selecione a alternativa que associa corretamente a constelação a seu nome:
10236713597,216856699,09/23/2018 11:55:17 AM,09/26/2018 09:24:16 AM,,,,,,25 a 34,Masculino,Médio Completo,Superior Completo,Superior Completo,Astrônomo,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É o ""resto"" de uma estrela após esta ter morrido",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10236708918,216856699,09/24/2018 10:17:52 PM,09/24/2018 10:22:21 PM,,,,,,18 a 24,Masculino,Superior Completo,Médio Completo,Médio Completo,Analista de Sistemas,Uma estrela,7,Júpiter,Via Láctea,Um satélite natural,150 bilhões Km,Redondo,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Lua entre o Sol e a Terra. Assim, o Sol é ocultado pela sombra da Lua.",É um cometa que passa muito perto da Terra,"Ambos possuem características físicas semelhantes, com a diferença que asteroides são mais velhos e podem entrar nas atmosferas de planetas","É o ""resto"" de uma estrela após esta ter morrido",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",A idade do universo é desconhecida,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Um Buraco Negro,Image 4,Escorpião
10236704449,216856699,09/24/2018 10:14:14 PM,09/24/2018 10:15:17 PM,,,,,,35 a 44,Feminino,Pós-graduação Completo,Superior Completo,Superior Completo,Artista,,,,,,,,,,,,,,,,,,
10236695754,216856699,09/24/2018 10:07:38 PM,09/24/2018 10:08:38 PM,,,,,,18 a 24,Feminino,Superior Incompleto,Superior Completo,Superior Completo,Outros,,,,,,,,,,,,,,,,,,
10236651972,216856699,09/24/2018 09:35:25 PM,09/24/2018 09:41:35 PM,,,,,,25 a 34,Masculino,Superior Incompleto,Médio Completo,Médio Completo,Mecânico,Uma estrela,9,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Cometas são frios, possuem órbitas estáveis e não necessariamente orbitam o Sol. Asteroides são quentes, possuem órbitas caóticas e sempre orbitam o Sol","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10236612560,216856699,09/24/2018 09:07:19 PM,09/24/2018 09:15:06 PM,,,,,,25 a 34,Feminino,Superior Completo,Médio Completo,Pós-graduação Completo,Engenheiro,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 trilhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Cometas são frios, possuem órbitas estáveis e não necessariamente orbitam o Sol. Asteroides são quentes, possuem órbitas caóticas e sempre orbitam o Sol","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10236588092,216856699,09/24/2018 08:50:32 PM,09/24/2018 08:57:32 PM,,,,,,18 a 24,Masculino,Superior Incompleto,Fundamental Incompleto,Fundamental Incompleto,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Órion
10236469468,216856699,09/24/2018 07:35:50 PM,09/24/2018 07:41:23 PM,,,,,,18 a 24,Masculino,Superior Incompleto,Fundamental Incompleto,Fundamental Incompleto,Estudante,Uma estrela,9,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Terra e Lua estão alinhados, com a Terra à frente da Lua. Os raios solares são bloqueados, e a Lua aparece como uma ""sombra"".",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Três Marias
10236437296,216856699,09/24/2018 07:16:23 PM,09/24/2018 07:30:49 PM,,,,,,18 a 24,Feminino,Superior Incompleto,Médio Completo,Fundamental Incompleto,Biólogo,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Terra e Lua estão alinhados, com a Terra à frente da Lua. Os raios solares são bloqueados, e a Lua aparece como uma ""sombra"".",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Um Buraco Negro,Image 4,Três Marias
10236427094,216856699,09/24/2018 07:10:21 PM,09/24/2018 07:11:11 PM,,,,,,18 a 24,Feminino,Superior Incompleto,Superior Completo,Médio Incompleto,Estudante,,,,,,,,,,,,,,,,,,
10236411805,216856699,09/24/2018 07:01:06 PM,09/24/2018 07:01:56 PM,,,,,,18 a 24,Feminino,Superior Incompleto,Superior Incompleto,Superior Completo,Estudante,,,,,,,,,,,,,,,,,,
10236232373,216856699,09/24/2018 05:27:22 PM,09/24/2018 05:38:00 PM,,,,,,18 a 24,Feminino,Superior Incompleto,Médio Completo,Médio Completo,Dançarino,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 trilhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma região do espaço extremamente turbulenta, por conta de as estrelas estarem muito próximas",Marcelo Gleiser,"É uma região do espaço ""vazia"", sem massa e sem luz",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Supernova,Image 4,Escorpião
10236219826,216856699,09/24/2018 05:21:48 PM,09/24/2018 05:26:30 PM,,,,,,18 a 24,Masculino,Médio Completo,Superior Completo,Médio Completo,Outros,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 mil Km,Geóide,"Ocorre quando Terra e Lua estão alinhados, com a Terra à frente da Lua. Os raios solares são bloqueados, e a Lua aparece como uma ""sombra"".",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Elisabete Costa,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10236196636,216856699,09/24/2018 05:08:23 PM,09/24/2018 05:21:06 PM,,,,,,60 ou mais,Feminino,Superior Completo,Médio Completo,Fundamental Incompleto,Assistente Social,Uma estrela,9,Saturno,Via Láctea,Um satélite natural,150 bilhões Km,Redondo,"Ocorre quando o Sol fica entre a Lua e a Terra, direcionando os raios solares de tal forma que estes não atingem a Lua.",É um cometa que passa muito perto da Terra,"Ambos possuem características físicas semelhantes, com a diferença que asteroides são mais velhos e podem entrar nas atmosferas de planetas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,É uma região do espaço através da qual é possível viajar para outras dimensões,A idade do universo é desconhecida,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Nada. Ele simplesmente desaparecerá,Image 4,Lira
10236122598,216856699,09/24/2018 04:37:52 PM,09/24/2018 04:45:42 PM,,,,,,18 a 24,Feminino,Superior Incompleto,Superior Completo,Superior Completo,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos são feitos do mesmo material, com a diferença que cometas possuem uma cauda por possuirem maior velocidade","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",A idade do universo é desconhecida,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10236106146,216856699,09/24/2018 04:31:34 PM,09/24/2018 04:39:51 PM,,,,,,18 a 24,Masculino,Médio Completo,Pós-graduação Completo,Superior Completo,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Helicoidal,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um cometa que passa muito perto da Terra,"Cometas são frios, possuem órbitas estáveis e não necessariamente orbitam o Sol. Asteroides são quentes, possuem órbitas caóticas e sempre orbitam o Sol","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Alberto Garibaldi,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",3 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Supernova,Image 4,Caixa
10236085905,216856699,09/24/2018 04:22:33 PM,09/24/2018 04:39:32 PM,,,,,,25 a 34,Feminino,Superior Incompleto,Fundamental Completo,Médio Completo,Outros,Uma estrela,9,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Terra e Lua estão alinhados, com a Terra à frente da Lua. Os raios solares são bloqueados, e a Lua aparece como uma ""sombra"".",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Elisabete Costa,"É uma região do espaço ""vazia"", sem massa e sem luz",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10236066367,216856699,09/24/2018 04:14:09 PM,09/24/2018 04:14:44 PM,,,,,,18 a 24,Feminino,Superior Incompleto,Médio Completo,Fundamental Incompleto,Estudante,,,,,,,,,,,,,,,,,,
10236048129,216856699,09/24/2018 04:05:28 PM,09/24/2018 04:16:51 PM,,,,,,18 a 24,Masculino,Superior Incompleto,Médio Completo,Superior Completo,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Uma Anã Branca,Image 4,Escorpião
10236028786,216856699,09/24/2018 03:57:35 PM,09/24/2018 04:16:42 PM,,,,,,18 a 24,Feminino,Superior Incompleto,Fundamental Incompleto,Fundamental Completo,Engenheiro,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 bilhões Km,Geóide,"Ocorre quando Terra e Lua estão alinhados, com a Terra à frente da Lua. Os raios solares são bloqueados, e a Lua aparece como uma ""sombra"".",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Cometas são frios, possuem órbitas estáveis e não necessariamente orbitam o Sol. Asteroides são quentes, possuem órbitas caóticas e sempre orbitam o Sol","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Uma Anã Branca,Image 4,Escorpião
10235991560,216856699,09/24/2018 03:41:15 PM,09/24/2018 04:18:33 PM,,,,,,35 a 44,Masculino,Pós-graduação Completo,Superior Completo,Médio Completo,Estatístico,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Redondo,"Ocorre quando Terra e Lua estão alinhados, com a Terra à frente da Lua. Os raios solares são bloqueados, e a Lua aparece como uma ""sombra"".",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Rebeca Gusmão,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Um Buraco Negro,Image 4,Escorpião
10235967589,216856699,09/24/2018 03:30:01 PM,09/24/2018 03:34:57 PM,,,,,,18 a 24,Masculino,Superior Completo,Médio Completo,Médio Incompleto,Militar,Uma estrela,8,Saturno,Via Láctea,Um satélite natural,150 trilhões Km,Toroidal,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Lua entre o Sol e a Terra. Assim, o Sol é ocultado pela sombra da Lua.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos possuem características físicas semelhantes, com a diferença que asteroides são mais velhos e podem entrar nas atmosferas de planetas","É o ""resto"" de uma estrela após esta ter morrido",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Uma Supernova,Image 4,Lira
10235950747,216856699,09/24/2018 03:15:19 PM,09/24/2018 03:31:43 PM,,,,,,25 a 34,Masculino,Pós-graduação Incompleto,Pós-graduação Completo,Pós-graduação Completo,Químico,Uma estrela,7,Saturno,Ela não tem nome,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos possuem características físicas semelhantes, com a diferença que asteroides são mais velhos e podem entrar nas atmosferas de planetas","É o ""resto"" de uma estrela após esta ter morrido",Marcelo Gleiser,"É uma região do espaço ""vazia"", sem massa e sem luz",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Supernova,Image 4,Escorpião
10235939427,216856699,09/24/2018 03:20:10 PM,09/24/2018 03:25:43 PM,,,,,,18 a 24,Masculino,Superior Incompleto,Médio Completo,Pós-graduação Completo,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Órion
10235936125,216856699,09/24/2018 03:18:13 PM,09/24/2018 03:23:38 PM,,,,,,18 a 24,Feminino,Superior Incompleto,Médio Incompleto,Médio Completo,Estudante,Uma estrela,7,Júpiter,Via Láctea,Um satélite natural,150 sextilhões Km,Helicoidal,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos possuem características físicas semelhantes, com a diferença que asteroides são mais velhos e podem entrar nas atmosferas de planetas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Emilio Médici,"É uma pequena galáxia que perdeu toda massa através de colisões com outras galáxias maiores, tornando-se ""negra""",14 bilhões de anos,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Nada. Ele simplesmente desaparecerá,Image 4,Três Marias
10235890167,216856699,09/24/2018 02:59:25 PM,09/24/2018 03:05:19 PM,,,,,,18 a 24,Feminino,Superior Incompleto,Médio Completo,Médio Incompleto,Estudante,Uma estrela,7,Marte,Via Láctea,Um satélite natural,150 sextilhões Km,Helicoidal,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos são feitos do mesmo material, com a diferença que cometas possuem uma cauda por possuirem maior velocidade","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É uma região do espaço ""vazia"", sem massa e sem luz",A idade do universo é desconhecida,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Nada. Ele simplesmente desaparecerá,Image 4,Escorpião
10235878810,216856699,09/24/2018 02:54:37 PM,09/24/2018 03:24:28 PM,,,,,,18 a 24,Masculino,Superior Incompleto,Pós-graduação Completo,Pós-graduação Incompleto,Estudante,Uma estrela,8,Saturno,Via Láctea,Um satélite natural,150 milhões Km,Redondo,"Ocorre quando Terra e Lua estão alinhados, com a Terra à frente da Lua. Os raios solares são bloqueados, e a Lua aparece como uma ""sombra"".",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Cometas são frios, possuem órbitas estáveis e não necessariamente orbitam o Sol. Asteroides são quentes, possuem órbitas caóticas e sempre orbitam o Sol","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10235873773,216856699,09/24/2018 02:52:18 PM,09/24/2018 02:58:28 PM,,,,,,18 a 24,Feminino,Superior Completo,Médio Incompleto,Médio Completo,Estudante,Uma estrela,8,Saturno,Via Láctea,Um satélite natural,150 bilhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É uma região do espaço ""vazia"", sem massa e sem luz",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Supernova,Image 4,Três Marias
10235871578,216856699,09/24/2018 02:51:33 PM,09/24/2018 03:00:38 PM,,,,,,18 a 24,Feminino,Superior Completo,Superior Incompleto,Superior Completo,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 milhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É o ""resto"" de uma estrela após esta ter morrido",Marcelo Gleiser,"É uma região do espaço ""vazia"", sem massa e sem luz",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10235867817,216856699,09/24/2018 02:50:02 PM,09/24/2018 02:53:51 PM,,,,,,18 a 24,Feminino,Superior Incompleto,Fundamental Completo,Fundamental Incompleto,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 bilhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Lua entre o Sol e a Terra. Assim, o Sol é ocultado pela sombra da Lua.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos são feitos do mesmo material, com a diferença que cometas possuem uma cauda por possuirem maior velocidade","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Rebeca Gusmão,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Devido à turbulência da atmosfera, que perturba e absorve as ondas luminosas e prejudica a qualidade das observações",Uma Anã Branca,Image 4,Escorpião
10235865173,216856699,09/24/2018 02:49:14 PM,09/24/2018 03:11:55 PM,,,,,,18 a 24,Masculino,Superior Incompleto,Superior Completo,Pós-graduação Completo,Estudante,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 trilhões Km,Geóide,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Lua entre o Sol e a Terra. Assim, o Sol é ocultado pela sombra da Lua.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É o ""resto"" de uma estrela após esta ter morrido",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Uma Supernova,Image 4,Lira
10235861961,216856699,09/24/2018 02:47:38 PM,09/24/2018 02:52:21 PM,,,,,,18 a 24,Masculino,Superior Incompleto,Fundamental Incompleto,Médio Completo,Programador,Uma estrela,8,Júpiter,Via Láctea,Um satélite natural,150 bilhões Km,Redondo,"Ocorre quando Sol, Terra e Lua estão alinhados, com a Terra entre o Sol e a Lua. Assim, a Lua é ocultada pela sombra da Terra.",É um asteroide ou meteoro que entra na atmosfera da Terra: o efeito visual nada mais é do que o corpo sendo queimado devido à alta velocidade,"Ambos orbitam o Sol, porém asteroides possuem composição rochosa e órbitas estáveis, enquanto cometas são compostos de gelo e possuem órbitas elípticas","É uma nuvem rica em gás e poeira, a partir da qual as estrelas se formam",Marcelo Gleiser,"É o remanescente de uma estrela muito grande e massiva, após esta ter esgotado o Hidrogênio em seu núcleo",14 bilhões de anos,"Telescópios na Terra apontam somente para uma região específica do céu; no espaço, porém, os telescópios orbitam nosso planeta, cobrindo todo o céu",Uma Anã Branca,Image 4,Lira
